# old_node_id  xy_node_id  cell_id  hop_distance
1832557178 16083 24 2
672476308 12438 25 2
205250369 3542 25 2
205231638 3528 25 2
205244916 3539 25 2
197174150 3038 26 2
250791268 6365 26 2
36800657 669 26 2
303861536 8877 27 2
2153658773 17203 27 2
303861626 8897 27 2
255419801 6874 28 2
3113113733 18707 28 2
1648815369 15426 28 2
3675962712 19187 28 2
363907203 10105 29 2
363907162 10103 29 2
363843885 10084 29 2
363906940 10095 29 2
363906929 10094 29 2
8688579025 21359 29 2
363819563 10079 29 2
11243146907 21986 30 2
3994361202 19435 30 2
6537356518 20688 30 2
8895135634 21396 31 2
6079678907 20432 31 2
218154105 4565 31 2
1696974118 15599 32 2
1696974108 15596 32 2
659506611 12327 32 2
1235167457 13939 33 2
259436214 7239 33 2
1089241536 13771 33 2
2481965894 18035 33 2
2278118406 17476 33 2
89162998 979 34 2
213947953 4463 34 2
213929908 4459 34 2
229900019 4747 34 2
206332474 3991 35 2
206336562 3999 35 2
153576241 2177 35 2
4397397826 19705 35 2
206211726 3830 35 2
157371943 2244 35 2
157371915 2242 35 2
36475483 581 36 2
36472431 561 36 2
470126 23 36 2
141942283 2000 37 2
141942226 1997 37 2
530289763 11644 37 2
150745069 2156 37 2
141942329 2002 37 2
7613065643 21037 37 2
1836073236 16416 38 2
1862814332 16730 38 2
1836073132 16405 38 2
416079020 10562 39 2
659727528 12335 39 2
416079028 10564 39 2
367714 10 40 2
554927747 11682 40 2
36427531 538 40 2
268401228 7643 40 2
193796804 2939 41 2
631980916 12194 42 2
631980934 12196 42 2
290038919 8157 42 2
290038512 8140 42 2
1679059634 15489 42 2
290039213 8160 42 2
7905445747 21171 42 2
9341085971 21479 43 2
165355626 2341 43 2
10289189963 21776 43 2
34909841 420 44 2
6760443699 20767 44 2
241862331 5178 45 2
2326238792 17683 45 2
241862009 5173 45 2
3667429842 19173 45 2
2139867516 17173 46 2
2139867498 17172 46 2
2218919249 17422 46 2
2218919158 17419 46 2
208479253 4233 47 2
208325777 4202 47 2
208338595 4216 47 2
208336917 4214 47 2
11364225904 22043 47 2
11364204576 22042 47 2
208344740 4227 47 2
205497478 3643 48 2
314060755 9277 48 2
2600731312 18255 48 2
206239797 3877 48 2
139227469 1790 49 2
139119596 1676 49 2
139208421 1775 49 2
60580502 879 51 2
242184561 5282 51 2
242925924 5383 51 2
655173528 12298 51 2
207559368 4177 51 2
8962544685 21410 52 2
7600229284 21028 52 2
1348629719 14218 52 2
925953080 13369 52 2
925953421 13392 52 2
